Ca ids,ICC2861_Control,ICC2861_Stress,ICC283_Control,ICC283_Stress
Ca_09571,168.0,125.66666666666667,98.66666666666667,107.33333333333333
Ca_09572,0.0,0.6666666666666666,0.6666666666666666,0.0
Ca_09573,0.0,0.0,0.0,0.3333333333333333
Ca_09574,94.66666666666667,78.33333333333333,61.666666666666664,82.66666666666667
Ca_09575,309.0,265.6666666666667,176.66666666666666,257.6666666666667
Ca_09576,0.0,0.3333333333333333,6.333333333333333,0.0
Ca_09577,293.0,259.0,224.0,187.0
Ca_09578,178.66666666666666,130.66666666666666,267.3333333333333,304.6666666666667
Ca_09579,272.3333333333333,233.0,132.66666666666666,219.66666666666666
Ca_09580,25.0,19.0,17.333333333333332,21.0
Ca_09581,420.3333333333333,369.6666666666667,334.6666666666667,430.3333333333333
Ca_09582,90.66666666666667,81.66666666666667,49.333333333333336,70.33333333333333
Ca_09583,1.6666666666666667,0.3333333333333333,2.0,6.0
Ca_09584,5.0,2.0,1.3333333333333333,1.6666666666666667
Ca_09585,22.333333333333332,15.0,7.333333333333333,11.333333333333334
Ca_09586,44572.0,50155.0,37883.666666666664,70517.33333333333
Ca_09587,71.66666666666667,61.666666666666664,50.666666666666664,26.666666666666668
Ca_09588,6.666666666666667,3.0,3.6666666666666665,5.333333333333333
Ca_09589,25.666666666666668,16.666666666666668,14.0,17.666666666666668
Ca_09590,277.0,220.66666666666666,225.66666666666666,233.0
Ca_09591,3.0,1.0,1.6666666666666667,1.0
Ca_09592,32.666666666666664,6.666666666666667,0.6666666666666666,8.333333333333334
Ca_09593,766.6666666666666,622.6666666666666,278.0,461.6666666666667
Ca_09594,125.66666666666667,113.0,45.333333333333336,60.333333333333336
Ca_09595,1485.3333333333333,900.6666666666666,599.6666666666666,798.3333333333334
